ACE,Top playing card
HUT,Pizza ___
ICE,Vanilla or Spice
ICY,Cold and slick
ILL,Licensed to ___
IMP,Naughty child
INK,Tattoo supply
INN,Holiday ___
ION,Charged particle
IRE,Great anger
IRK,To annoy
ITS,___ a Wonderful Life
IVY,Blue ___ Carter
JAB,Boxing punch
JAG,Sports car
JAM,Pearl ___
JAR,Cookie holder
JAY,Leno or Z
JED,Clampett of TV
JET,West Side Story gang
JIB,Sailboat part
JIG,Lively dance
JIM,Carrey or Halpert
JOB,Work task
JOE,Camel or Millionaire
JOG,Slow run
JON,Snow of Thrones
JOT,Brief note
JOY,Inside Out emotion
JUG,Moonshine bottle
JUT,Protrude
KAY,Jewelry brand
KED,Canvas shoe
KEG,Beer barrel
KEN,Barbie's beau
KEY,Alicia of song
KID,Billy the ___
KIM,A Kardashian
KIN,Family members
KIP,Short nap
KIT,Model set
KOA,Campground chain
LAB,Black dog breed
LAD,Young boy
LAG,Internet delay
LAM,On the ___
LAP,Pool length
LAY,___ It on Me
LEA,Grassy field
LED,___ Zeppelin
LEE,Stan or Bruce
LEG,Drumstick
LEI,Flower garland
LEO,Titanic star
LET,___ It Be
LEV,Schreiber of film
LEX,Luthor of DC
LID,Jar topper
LIE,Untruth
LIP,Gloss target
LIZ,Taylor or Lemon
LOB,Tennis shot
LOG,Yule ___
LON,Chaney of horror
LOP,Cut off
LOT,Studio back lot
LOU,Reed or Costello
LOW,___ Rider song
LOX,Bagel topping
LUG,Carry with effort
LUM,___ and Abner
LUV,Sixties slang
LUX,Light unit
LYE,Soap chemical
MAC,___ and cheese
MAD,___ Men
MAE,West or Whitman
MAN,The ___ Swift song
MAP,Dora's tool
MAR,To damage
MAT,Yoga surface
MAW,Animal's mouth
MAX,Smart or Mad
MAY,___ December film
MEG,Ryan or Griffin
MEL,Brooks or Gibson
MEN,___ in Black
MET,Opera house
MEW,Kitten sound
MIA,Farrow or Goth
MID,Middle for short
MIG,Russian jet
MIL,One thousandth
MIX,Sir ___ -a-Lot
MOB,The Mafia
MOD,Sixties fashion
MOO,Cow sound
MOP,The ___ Tops
MOW,Cut the grass
MUD,Mississippi ___
MUG,Coffee cup
MUM,Silent
NAB,Catch a crook
NAG,To pester
NAN,Indian bread
NAP,Quick sleep
NAS,Illmatic rapper
NAT,King Cole
NAY,No vote
NED,Flanders of TV
NEO,Matrix hero
NET,Tennis barrier
NEW,___ Girl show
NIB,Pen tip
NIL,Nothing
NIP,/Tuck show
NIT,Small detail
NIX,To cancel
NOD,Yes gesture
NON,-stop
NOR,Neither's partner
NOT,Wayne's World joke
NOW,___ That's Music
NUB,Essential part
NUN,The ___ horror
NUT,Acorn e.g.
OAF,Clumsy fellow
OAK,Sturdy tree
OAR,Rowing tool
OBI,Kimono belt
ODD,___ Couple
ODE,Praising poem
OFF,___ the Wall
OFT,Often to poets
OIL,Crude or olive
OLD,___ School film
OLE,Bullfight cry
ONE,The ___ Neo
ONO,Yoko or Lennon
OOH,___ Child song
OPT,Choose
ORB,Sphere
ORE,Mining find
ORR,Hockey's Bobby
OTT,Baseball's Mel
OUR,___ Town play
OUT,___ of Africa
OWE,Have debt
OWL,Winnie the Pooh bird
OWN,To possess
WOO,Ask Nick
PAD,Bachelor's home
PAL,Friend
PAM,Anderson or Grier
PAN,Peter or frying
PAR,Golf score
PAS,Step of dance
PAT,Sajak or Benatar
PAW,Animal foot
PAY,___ It Forward
PEA,Princess's nuisance
PEG,Married with Children mom
PEN,Sean or writing tool
PEP,___ Talk
PER,As ___ usual
PET,___ Sematary
PEW,Church bench
PIC,Film for short
PIE,American ___
PIG,Babe or Wilbur
PIN,Bowling target
PIP,Gladys Knight's man
PIT,Brad of film
PLY,Paper thickness
POD,Pea holder
POE,Edgar Allan or Dameron
POP,___ goes the weasel
POT,Cooking vessel
POW,Comic sound
POX,Chicken ___
PRO,Expert level
PRY,Snoop
PUB,British bar
PUG,Small flat-faced dog
PUN,Word play
PUP,Young canine
PUR,Cat sound
PUT,___ on a Happy Face
RAH,Cheerleader cry
RAM,Los Angeles team
RAN,I ___ So Far Away
RAP,Music genre
RAT,Pack member
RAW,Uncooked
RAY,Charles or Romano
RED,Swift album
REF,Official
REI,Outdoor store
REM,Losing My Religion band
REP,Gym count
REV,Engine sound
REX,Toy Story dino
RIB,BBQ item
RID,Get ___ of
RIG,Trucker's vehicle
RIM,Wheel edge
RIO,Animated bird film
RIP,Rest in peace
ROB,Lowe or Zombie
ROC,Mythical bird
ROD,Stewart or Serling
ROE,Fish eggs
ROT,Decay
ROW,___ Your Boat
ROY,Orbison or Kent
RUB,Massage
RUE,Euphoria character
RUG,Floor covering
RUM,Bacardi product
RUN,___ Lola ___
RUT,Routine
RYE,Catcher in the ___
SAC,Pouch
SAD,Melancholy
SAG,Actors' union
SAP,Tree fluid
SAW,Horror franchise
SAY,___ Anything film
SEA,The Old Man and the ___
SEE,___ No Evil
SET,Ready go partner
SEW,Stitch
SEX,___ and the City
SHE,-Ra princess
SHY,Timid
SIB,Brother or sister
SIC,Attack command
SID,Caesar or Vicious
SIN,City film
SIP,Small drink
SIR, Mix-a-Lot
SIT,-com
SKI,Winter sport
SKY,Bond film fall
SLY,Stallone nickname
SOB,Cry loudly
SOD,Lawn turf
SOL,The sun
SON, of Sam
SOP,Bread dunk
SOT,Drunkard
SOW,Plant seeds
SOY,Milk alternative
SPA,Relaxing retreat
SPY, Kids movie
SRI,___ Lanka
STU,Hangover dentist
STY,Pig's home
SUB,Underwater vessel
SUE,Lynch or legal action
SUM,Addition result
SUN,The center star
SUP,Dinner or "What's up?"
TAB,Soda or Hunter
TAD,Small amount
TAG,Game of chase
TAN,Sunbathe result
TAP,___ Dance
TAR,Black road stuff
TEA,What gossipers spill
TED,Lasso or Danson
TEE,Golf ball stand
TEN,et Nolan film
THE, Godfather
TIC,Twitch
TIE,Formal wear
TIL,___ Tuesday band
TIN,Man of Oz
TIP,Service bonus
TOE,Big ___
TOG,Dress up
TOM,Hanks or Cruise
TON,Heavy weight
TOO,___ Hot to Handle
TOP,___ Gun
TOT,Toddler
TOW,Pull a car
TOY,___ Story
TRY,Attempt
TUB,Bath vessel
TUG,___ of war
TUX,Formal wear
TWO,___ and a Half Men
UGH,Disgust sound
UMP,Baseball official
URN,Coffee server
USE,___ Your Illusion
UTA,Hagen of acting
VAL,Kilmer or Bertinelli
VAN,Halen or Diesel
VAT,Large tank
VEE,The Letter ___
VET,Animal doctor
VIA,By way of
VIC,Damone or Mackey
VIE,To compete
VIM,Energy or vigor
VIN,Diesel or Scully
VIP,Famous person
VOW,Wedding promise
VOX,Voice or amp
WAD,Bundle of cash
WAG,Tail movement
WAN,Pale look
WAR,___ of the Worlds
WAS,___ Not Was band
WAX,Museum medium
WAY,'s World
WEB,Spider-Man's tool
WED,Tie the knot
WEE,The ___ Hours
WET, Hot American Summer
WHO,Doctor ___
WHY,___ Him? movie
WIG,Sia's accessory
WIN,Victory
WIT,Humor
WIZ,The ___ musical
WOE,Great sorrow
WOK,Cooking pan
WON,___ Ton Soup
WTF,Vulgar exclamation
WOO,To court
WOW,World of Warcraft
WRY,Droll humor
YAK,Chatter on
YAM,Sweet potato
YAP,High-pitched bark
YAW,Ship's tilt
YAY,Cheer
YEA,Yes vote
YEN,Japanese money
YEP,Slangy yes
YES,The Bear reply
YET,Up to now
YEW,Tree type
YIP,Small bark
YOB,British hooligan
YOM,___ Kippur
YON,Over there
YOU,Netflix thriller
YOW,Cry of pain
YUK,Loud laugh
YUM,Tasty sound
YUP,Informal yes
ZAG,Zig partner
ZAP,Laser sound
ZED,British Z
ZEE,American Z
ZEN,Peaceful state
ZIG,Zag partner
ZIP,Fastener
ZIT,Blemish
ZOO,Animal park
