ABBEY,Monastery
DELVE,Investigate deeply
DENIM,Blue jeans fabric
DENSE,Closely packed
DEPOT,Storage facility
DEPTH,Distance downward
DERBY,Horse race or hat
DETER,Discourage
DEVIL,Evil supernatural being
DIARY,Daily journal
DIGIT,Finger or number
DINGY,Dirty and dull
DINER,Small restaurant
DIRTY,Not clean
DISCO,Dance music style
DITCH,Narrow trench
DITTY,Short simple song
DIVED,Past of dive
DIVER,One who dives
DIZZY,Feeling faint
DODGE,Avoid quickly
DOING,Performing
DONOR,Giver
DOUBT,Uncertainty
DOUGH,Bread mixture
DOWNY,Soft and fluffy
DOZEN,Group of twelve
DRAFT,First version
DRAIN,Remove liquid
DRAMA,Theatrical performance
DRANK,Past of drink
DRAPE,Hang loosely
DRAWL,Slow speech
DRAWN,Past of draw
DREAD,Great fear
DREAM,Images while sleeping
DRESS,Woman's garment
DRIED,Past of dry
DRIFT,Float
DRILL,Boring tool or practice
DRINK,Consume liquid
DRIVE,Operate a vehicle
DROLL,Amusingly odd
DRONE,Unmanned aircraft
DROOL,Salivate
DROOP,Hang down
DROSS,Waste matter
DROVE,Past of drive
DROWN,Suffocate in water
DRUNK,Intoxicated
DRYER,Clothes-drying machine
DUCAL,Relating to a duke
DUKES,Noblemen
DUMMY,Model or mute
DUSTY,Covered in dust
DWARF,Very small person
DWELL,Live in
EAGER,Enthusiastic
EAGLE,Large bird of prey
EARLY,Before expected time
EARTH,Our home planet
EASEL,Artist's stand
EATEN,Past participle of eat
EDICT,Official order
EERIE,Strange and scary
EIGHT,Number after seven
EJECT,Force out
ELBOW,Arm joint
ELDER,Older person
ELECT,Choose by vote
ELEGY,Mournful poem
ELITE,Best of the best
ELOPE,Run off to marry
ELVES,Mythical beings plural
EMAIL,Electronic mail
EMBED,Fix firmly
EMBER,Glowing coal
EMCEE,Master of ceremonies
EMPTY,Containing nothing
ENACT,Make into law
ENDED,Finished
ENEMY,Opposing foe
ENJOY,Take pleasure in
ENROL,Sign up
ENSUE,Follow after
ENTER,Go into
ENTRY,Way in
ENVOY,Messenger
EPOCH,Period of time
EQUAL,The same in value
EQUIP,Provide with tools
ERASE,Remove
ERECT,Upright
ERODE,Wear away
ERROR,Mistake
ERUPT,Burst out
ESSAY,Short written piece
ESTER,Chemical compound
ETHIC,Moral principle
EVADE,Escape from
EVENT,Occurrence
EVERY,Each one
EVICT,Force out of home
EVOKE,Bring to mind
EXACT,Precisely accurate
EXALT,Praise highly
EXCEL,Be outstanding
EXERT,Apply effort
EXILE,Banishment
EXIST,Have being
EXTOL,Praise enthusiastically
EXTRA,Additional
FABLE,Moral story
FACET,Flat surface of a gem
FAINT,Lose consciousness
FAIRY,Magical being
FAITH,Trust or religious belief
FANCY,Elaborate
FARCE,Absurd comedy
FATAL,Causing death
FAULT,Defect
FAVOR,Approval
FEAST,Large meal
FECAL,Of waste
FEIGN,Pretend
FENCE,Barrier
FERAL,Wild untamed
FERRY,Boat service
FETAL,Relating to a fetus
FETCH,Go and get
FEVER,High body temperature
FEWER,Smaller number
FIBER,Thin thread
FIELD,Open land
FIEND,Evil person
FIERY,Full of fire
FIFTH,Number five in order
FIFTY,Number 50
FIGHT,Physical conflict
FILCH,Steal
FINAL,Last
FINCH,Small songbird
FINER,More refined
FIRED,Discharged
FIRST,Number one
FISHY,Suspicious
FIXED,Repaired or stationary
FIZZY,Carbonated
FLAIR,Natural talent
FLAKE,Small flat piece
FLAKY,Breaking into flakes
FLAME,Fire tongue
FLANK,Side of an animal
FLARE,Bright burst of light
FLASH,Sudden bright light
FLASK,Narrow-necked container
FLEET,Group of vehicles
FLESH,Soft body tissue
FLICK,Sharp light movement
FLIER,Handbill
FLING,Throw with force
FLINT,Hard type of rock
FLIRT,Playfully romantic
FLOAT,Rest on water surface
FLOCK,Group of birds or sheep
FLOOD,Overflow of water
FLOOR,Bottom surface of a room
FLORA,Plant life
FLOSS,Dental thread
FLOUR,Ground grain powder
FLOUT,Openly disregard
FLOWN,Past participle of fly
FLUFF,Light fibers
FLUID,Liquid
FLUKE,Stroke of luck
FLUME,Artificial channel
FLUNG,Past of fling
FLUSH,Blush or toilet action
FLUTE,Wind instrument
FLYER,Handbill
FOAMY,Full of foam
FOCAL,Relating to a focus
FOCUS,Center of attention
FOGGY,Full of fog
FOIST,Impose
FOLIO,Sheet of paper
FOLKS,People
FORAY,Brief venture
FORCE,Power
FORGE,Blacksmith's furnace
FORGO,Do without
FORTE,One's strong point
FORTH,Forward
FORTY,Number 40
FORUM,Discussion place
FOUND,Discovered or established
FOYER,Entrance hall
FRAIL,Weak
FRAME,Border or structure
FRANK,Direct and honest
FRAUD,Deception
FREAK,Unusual occurrence
FRESH,Not stale
FRIED,Cooked in oil
FRILL,Decorative edge
FROCK,Dress
FRONT,Forward part
FROST,Ice crystals
FROTH,Foam
FROWN,Unhappy expression
FROZE,Past tense of freeze
FRUIT,Sweet plant product
FUDGE,Soft sweet
FULLY,Completely
FUMES,Strong smells
FUNGI,Plural of fungus
FUNNY,Amusing
FURRY,Covered in fur
FUSSY,Overly particular
FUZZY,Fluffy
GABLE,Triangular part of a wall
GAILY,In a cheerful manner
GAMER,One who plays games
GANGS,Groups
GAUDY,Showy and tasteless
GAUGE,Measure
GAUNT,Thin and bony
GAUZE,Light transparent fabric
GAVEL,Judge's hammer
GAWKY,Awkward
GECKO,Small tropical lizard
GEESE,Plural of goose
GENIE,Wish-granting spirit
GENRE,Category of art
GHOST,Spirit of a dead person
GHOUL,Evil spirit
GIANT,Extremely large
GIRLY,Feminine
GIRTH,Measurement around
GIVEN,Provided
GLADE,Open space in a forest
GLAND,Organ that secretes
GLARE,Harsh bright light
GLASS,Transparent hard material
GLAZE,Coat with shiny surface
GLEAM,Shine softly
GLIDE,Move smoothly
GLINT,Brief flash
GLOAT,Revel in success
GLOBE,Sphere or Earth
GLOOM,Darkness or sadness
GLORY,Great honor
GLOSS,Shiny surface
GLOVE,Hand covering
GNOME,Small mythical creature
GOING,Leaving
GOLLY,Mild exclamation
GOODS,Merchandise
GOOEY,Soft and sticky
GOOFY,Silly
GOOSE,Large water bird
GOURD,Hard-shelled fruit
GRACE,Elegance
GRADE,Level or mark
GRAFT,Hard work or transplant
GRAIN,Seed of a cereal plant
GRAMS,Units of mass
GRAND,Large and impressive
GRANT,Give officially
GRAPE,Vineyard fruit
GRAPH,Visual data chart
GRASP,Seize firmly
GRASS,Green ground cover
GRATE,Rub against a surface
GRAVE,Burial place
GRAVY,Meat sauce
GRAZE,Feed on grass
GREAT,Very good
GREED,Excessive desire for more
GREEN,Color of grass
GREET,Welcome
GRIEF,Deep sorrow
GRILL,Cook over flame
GRIME,Thick dirt
GRIMY,Covered in grime
GRIND,Crush into powder
GRIPE,Complain
GROAN,Low sound of pain
GROIN,Lower abdomen
GROOM,Tidy or prepare
GROSS,Repulsive
GROUP,Collection
GROUT,Cement filling
GROVE,Small group of trees
GROWL,Low threatening sound
GROWN,Past participle of grow
GRUEL,Thin porridge
GRUFF,Rough and unfriendly
GRUNT,Low sound
GUARD,Protect
GUAVA,Tropical fruit
GUESS,Estimate without knowing
GUEST,Visitor
GUIDE,Lead the way
GUILD,Association of craftsmen
GUILT,Feeling of wrongdoing
GULLY,Small valley
GULPS,Big swallows
GUMBO,Thick Creole stew
GUPPY,Small aquarium fish
GUSTO,Enthusiasm
GUSTY,Windy
GUTSY,Bold
HABIT,Regular practice
HAIKU,Japanese poem
HAIRY,Covered in hair
HALLS,Large rooms
HANDY,Useful or skilled
HAPPY,Content
HARDY,Tough
HARPS,String instruments
HARSH,Rough and severe
HASTE,Speed
HATCH,Emerge or plot
HATED,Disliked strongly
HATER,One who hates
HAUNT,Frequent or disturb
HAVEN,Safe place
HAVOC,Widespread destruction
HAZEL,Light brown
HEADY,Intoxicating
HEARD,Perceived sound
HEART,Organ that pumps blood
HEATH,Shrubland
HEAVE,Lift with effort
HEAVY,Of great weight
HEDGE,Row of shrubs
HEFTY,Heavy
HELIX,Spiral shape
HELLO,Greeting
HENCE,Therefore
HERBS,Culinary plants
HERON,Wading bird
HILLY,Full of hills
HINGE,Door joint
HIPPO,Large semi-aquatic mammal
HITCH,Problem or fasten
HOARD,Hidden stockpile
HOBBY,Leisure activity
HOIST,Lift up
HOMER,Home run
HONEY,Bee-made sweet substance
HONOR,Respect or integrity
HOOCH,Liquor
HOPED,Past of hope
HORDE,Large crowd
HORSE,Large domesticated animal
HOTEL,Lodging establishment
HOUND,Hunting dog
HOURS,Sixty minute periods
HOUSE,Dwelling
HOVEL,Small squalid dwelling
HOVER,Float in place
HUMAN,Person
HUMID,Damp and moist
HUMOR,Funniness
HUMPH,Disapproving sound
HUMUS,Rich soil
HUNCH,Gut feeling
HURRY,Move quickly
HUSKY,Hoarse or sled dog
HYENA,African scavenging animal
HYMNS,Religious songs
ICING,Cake topping
IDEAL,Perfect standard
IDIOM,Common expression
IDIOT,Stupid person
IDLER,Lazy person
IGLOO,Dome-shaped ice shelter
IMAGE,Picture
IMPLY,Suggest indirectly
INBOX,Message receptacle
INCUR,Bring on oneself
INDEX,Alphabetical list
INEPT,Clumsy
INERT,Inactive
INFER,Conclude from evidence
INGOT,Metal bar
INLET,Narrow water passage
INNER,Inside
INPUT,Data entered
IRATE,Very angry
IRKED,Annoyed
IRONY,Opposite meaning
ISSUE,Problem or edition
ITCHY,Causing urge to scratch
IVORY,Creamy white material
JACKS,Children's game
JADED,Weary
JAUNT,Short trip
JEANS,Denim pants
JELLY,Soft gelatinous food
JERKY,Dried meat
JETTY,Landing pier
JEWEL,Precious stone
JIFFY,Very short time
JOINT,Meeting place
JOIST,Support beam
JOKER,Prankster or card
JOLLY,Cheerful
JOUST,Medieval horse combat
JUDGE,Person who decides in court
JUICE,Liquid from fruits
JUICY,Full of juice
JUMBO,Very large
JUMPY,Nervous
JUNTA,Ruling military group
JUROR,Member of a jury
KAYAK,Narrow paddled boat
KEBAB,Skewered meat
KHAKI,Tan color
KINKY,Having twists
KIOSK,Small booth
KITES,Flying toys
KITTY,Kitten
KNACK,Special skill
KNAVE,Dishonest person
KNEAD,Work dough
KNEEL,Rest on one's knees
KNELT,Past of kneel
KNIFE,Cutting tool
KNOCK,Strike a surface
KNOLL,Small hill
KNOWN,Past of know
KOALA,Australian tree-dwelling marsupial
KUDOS,Praise for achievement
LABEL,Identifying tag
LABOR,Hard work
LADEN,Heavily loaded
LADLE,Big spoon
LANCE,Long spear
LANKY,Tall and thin
LAPSE,Temporary failure
LARGE,Big
LARVA,Insect stage
LASER,Focused light beam
LASSO,Rope loop for catching
LATCH,Fastening device
LATER,After
LATHE,Shaping machine
LAUGH,Express amusement
LAYER,Level or thickness
LEAKY,Letting fluid out
LEAPT,Jumped
LEARN,Acquire knowledge
LEASE,Rental agreement
LEASH,Animal restraint
LEAST,Smallest amount
LEAVE,Go away
LEDGE,Narrow horizontal surface
LEECH,Blood-sucking worm
LEERY,Cautious
LEGAL,Permitted by law
LEMON,Sour yellow citrus fruit
LEMUR,Wide-eyed primate
LEVEL,Flat or same height
LEVER,Simple machine
LIBEL,Written defamation
LIGHT,Visible electromagnetic radiation
LIKED,Enjoyed
LILAC,Purple flower
LIMBO,Uncertain state
LIMIT,Maximum
LINED,Having lines
LINEN,Flax fabric
LINER,Large passenger ship
LINES,Long marks
LINGO,Specialized language
LIPID,Fatty molecule
LIVED,Resided
LIVER,Digestive organ
LLAMA,South American pack animal
LOBBY,Entrance hall
LOCAL,Nearby
LODGE,Temporary shelter
LOFTY,Very high
LOGIC,Reasoned thinking
LOGOS,Visual brand marks
LOOSE,Not tight
LORRY,British truck
LOSER,One who fails
LOTTO,Lottery
LOTUS,Water flower
LOUSE,Parasitic insect
LOUSY,Very bad
LOVED,Adored
LOVER,Romantic partner
LOWER,Beneath
LOYAL,Faithful
LUCID,Clearly expressed
LUCKY,Having good fortune
LUGER,Luge athlete
LUMPY,Full of lumps
LUNAR,Relating to the moon
LUNCH,Midday meal
LUNGS,Breathing organs
LURCH,Sudden tilt
LURID,Shocking
LYING,Untruthful
LYRIC,Song text
MACAW,Colorful parrot
MAGIC,Supernatural power
MAGMA,Molten rock underground
MAJOR,Important
MAKER,One who creates
MAMBO,Latin dance
MAMMA,Mother
MANGO,Tropical stone fruit
MANIA,Obsession
MANOR,Large country house
MAPLE,Tree producing syrup
MARCH,Walk steadily
MARRY,Wed
MARSH,Wetland
MASON,Stone worker
MATCH,Game
MATEY,Friendly
MAYBE,Possibly
MAYOR,City leader
MEALS,Food occasions
MEANS,Methods
MEDAL,Award
MEDIA,Communication channels
MELEE,Confused fight
MELON,Large sweet fruit
MERCY,Compassionate treatment
MERGE,Combine
MERIT,Deserve
MERRY,Cheerful
METAL,Hard shiny material
METER,Unit of length
MICRO,Very small
MIDGE,Small fly
MIGHT,Power
MIMIC,Copy
MINCE,Chop finely
MINER,Excavator
MINOR,Small in importance
MINTY,Tasting of mint
MINUS,Subtraction
MIRTH,Amusement
MISER,Person who hoards money
MISSY,Young girl
MISTY,Full of mist
MIXED,Combined
MIXER,Blending device
MOCHA,Coffee flavor
MODAL,Relating to mode
MODEL,Representation
MODEM,Internet device
MOGUL,Powerful person
MOIST,Slightly wet
MOLAR,Back tooth
MOLDY,Covered in mold
MONEY,Currency
MONTH,Four-week period
MOODY,Variable in temper
MOOSE,Large North American deer
MORAL,Ethical or story's lesson
MORON,Stupid person
MORPH,Change shape
MOSSY,Covered in moss
MOTEL,Roadside lodging
MOTHS,Night insects
MOTIF,Recurring theme
MOTOR,Engine
MOTTO,Guiding phrase
MOUND,Raised heap
MOUNT,Climb up
MOURN,Feel grief
MOUSE,Small rodent
MOUTH,Opening for eating and speaking
MOVED,Relocated
MOVER,One who relocates
MOVIE,Film
MUDDY,Covered in mud
MUGGY,Hot and humid
MULCH,Garden covering
MUMMY,Preserved body
MUNCH,Chew noisily
MURAL,Wall painting
MURKY,Dark and gloomy
MUSES,Inspirations
MUSHY,Soft and pulpy
MUSIC,Organized sound
MUSKY,Earthy smell
MUSTY,Stale smelling
MUTED,Softened in sound
NADIR,Lowest point
NAIVE,Lacking experience
NAMED,Given a name
NANNY,Childminder
NASAL,Of the nose
NASTY,Unpleasant
NATAL,Relating to birth
NAVAL,Relating to a navy
NAVEL,Belly button
NEEDS,Requires
NEEDY,Lacking resources
NEIGH,Horse sound
NERDY,Obsessively studious
NERVE,Body signal carrier
NEVER,At no time
NEWER,More recent
NEWLY,Recently
NEWSY,Full of news
NICER,More pleasant
NIECE,Sister's daughter
NIFTY,Clever or stylish
NIGHT,Period of darkness
NINTH,Ordinal for nine
NOBLE,Of high rank
NOISE,Loud sound
NOISY,Loud
NOMAD,Wanderer
NORTH,Direction of the North Pole
NOSEY,Prying
NOTCH,V-shaped cut
NOTED,Famous
NOVEL,Long fiction book
NUDGE,Gentle push
NURSE,Medical caretaker
NUTTY,Tasting of nuts
NYMPH,Nature spirit
OASIS,Desert water spot
OATEN,Made of oats
OATHS,Solemn promises
OBESE,Very overweight
OCCUR,Take place
OCEAN,Vast body of salt water
OCTAL,Base-eight number
OCTET,Group of eight
ODDLY,In a strange way
OFFAL,Animal organs
OFFER,Propose
OFTEN,Frequently
OILED,Lubricated
OKAPI,Giraffe relative
OLDEN,Of long ago
OLDER,More aged
OLIVE,Small oily fruit
OMEGA,Last Greek letter
ONION,Pungent vegetable
ONSET,Beginning
OOMPH,Energy
OPERA,Musical drama
OPTED,Chose
ORBIT,Curved path around a body
ORDER,Arrangement or command
ORGAN,Body part
OTHER,Remaining one
OTTER,Semi-aquatic mammal
OUGHT,Should
OUNCE,Unit of weight
OUTDO,Surpass
OUTER,Further from the center
OUTGO,Expenditure
OWING,Owed
OWNED,Possessed
OWNER,Possessor
OXIDE,Compound with oxygen
OZONE,Form of oxygen in atmosphere
PACER,Horse trot style
PADDY,Rice field
PAGAN,Non-Christian
PAINS,Aches
PAINT,Colored liquid for surfaces
PALES,Becomes lighter
PALMS,Tropical trees
PANDA,Black and white bear
PANEL,Flat section
PANIC,Sudden fear
PANSY,Small garden flower
PANTS,Trousers
PAPAL,Relating to the Pope
PAPER,Thin writing material
PARKA,Hooded jacket
PARKS,Green public areas
PARSE,Analyze grammar
PARTS,Pieces
PARTY,Celebration
PASTA,Italian dough food
PASTE,Thick adhesive
PASTY,Pale
PATCH,Small area or repair
PATIO,Outdoor paved area
PAUSE,Temporary stop
PAYEE,Recipient
PEACE,Absence of conflict
PEACH,Fuzzy orange fruit
PEARL,Gem from an oyster
PEDAL,Foot lever
PENAL,Related to punishment
PENCE,British coins
PENNY,One cent coin
PERCH,Bird resting place
PERIL,Danger
PERKY,Lively
PESKY,Annoying
PESTO,Green sauce
PETAL,Flower leaf
PETTY,Small-minded
PHASE,Stage
PHONE,Communication device
PHOTO,Photograph
PIANO,Keyboard instrument
PICKY,Hard to please
PIETY,Religious devotion
PILOT,Person who flies aircraft
PINCH,Squeeze
PINED,Longed for
PINTS,Volume units
PIOUS,Religious
PIPES,Tubes
PITCH,Throw or angle
PITHY,Concise
PIVOT,Turn around a point
PIXEL,Smallest image unit
PIXIE,Small fairy
PIZZA,Italian flatbread dish
PLACE,Location
PLAID,Tartan pattern
PLAIN,Simple or flat land
PLANE,Aircraft or flat surface
PLANK,Thick board
PLANT,Living organism
PLATE,Flat dish
PLAYS,Dramas
PLAZA,Public square
PLEAD,Beg
PLEAT,Fold in fabric
PLIED,Used diligently
PLOTS,Story outlines
PLUCK,Pull sharply
PLUMB,Test vertical
PLUME,Feather
PLUMP,Full and round
PLUNK,Drop heavily
PLUSH,Luxuriously soft
POACH,Cook in water
POINT,Sharp tip
POISE,Balance and grace
POKER,Card game
POLAR,Relating to the poles
POLES,Long rods
POLKA,Lively dance
POOCH,Dog
POPPY,Red flower
PORCH,Entrance area
POSED,Postured
POSES,Postures
POSIT,Assume
POSSE,Group of followers
POUCH,Small bag
POUND,Unit of weight
POURS,Flows
POUTS,Sulks
POWER,Ability to act
PRANK,Playful trick
PRAWN,Edible crustacean
PREEN,Groom feathers
PRESS,Push or media
PRICE,Cost
PRICK,Sharp poke
PRIDE,Satisfaction
PRIED,Pried open
PRIES,Inquires nosily
PRIMP,Groom oneself
PRINT,Make marks on paper
PRIOR,Earlier
PRISM,Glass shape splitting light
PRIZE,Award
PROBE,Investigate
PROMO,Promotion
PRONE,Lying face down
PRONG,Fork tine
PROOF,Evidence
PROSE,Ordinary written language
PROUD,Feeling satisfaction
PROVE,Demonstrate truth
PROWL,Move stealthily
