ACA,Adverbio de lugar cercano
LEY,Norma establecida por autoridad
LIA,Forma verbal de liar
LID,Combate o disputa
LIE,Forma verbal de liar
LIO,Situacion confusa o enredo
LIS,Flor emblema heraldica
LOA,Elogio o alabanza
LOS,Articulo masculino plural
LUZ,Lo que permite ver
MAL,Lo contrario del bien
MAR,Masa de agua salada
MAS,Cantidad superior
MES,Periodo de treinta dias
MIL,Numero cardinal de cuatro cifras
MIR,Estacion espacial rusa antigua
MIS,Adjetivo posesivo plural
MOL,Unidad quimica
MUS,Juego de cartas tradicional
NAO,Antigua nave de guerra
NEO,Prefijo que significa nuevo
NIN,Nino en catalan
NON,Numero impar
NOS,Pronombre de primera persona plural
OCA,Ave acuatica parecida al ganso
ODA,Composicion poetica lirica
OHM,Unidad de resistencia electrica
OIR,Percibir sonidos
OJO,Organo de la vista
OLA,Onda que se forma en el mar
OLE,Interjeccion de aprobacion
ORO,Metal precioso color amarillo
OSA,Hembra del oso
OSO,Mamifero grande y peludo
OYE,Forma verbal de oir imperativa
PAN,Alimento basico de harina
PAR,Conjunto de dos cosas
PAZ,Ausencia de conflicto
PEZ,Animal que vive en el agua
PIE,Extremo inferior de la pierna
PIN,Insignia que se prende en la ropa
PIO,Sonido que hace un pollito
POR,Preposicion que indica causa
POS,Prefijo que significa despues
PRO,A favor de algo
PSI,Letra griega
PUA,Espina de planta o animal
PUS,Liquido de una infeccion
QUE,Pronombre relativo
RAE,Forma verbal de raer
RAS,Nivel o altura de algo
RED,Tejido de hilos anudados
REO,Acusado de un delito
RES,Animal de ganado vacuno
REY,Monarca de un pais
RIA,Entrada del mar en la tierra
RIE,Forma verbal de reir
RIO,Corriente continua de agua
ROE,Forma verbal de roer
ROL,Papel o funcion
RON,Licor destilado de cana
ROS,Gorra militar antigua
SAL,Condimento blanco de cocina
SAN,Apocope de santo
SEA,Forma verbal de ser subjuntiva
SED,Ganas de beber
SEN,Planta medicinal laxante
SER,Verbo de existencia
SIC,Expresion latina de cita exacta
SIN,Preposicion de ausencia
SOL,Astro que ilumina la Tierra
SON,Forma verbal de ser
SOR,Tratamiento para una monja
SOS,Senal internacional de auxilio
SOY,Forma verbal de ser en presente
SUR,Punto cardinal opuesto al norte
SUS,Adjetivo posesivo plural
TAC,Sonido breve y seco
TAL,Adverbio de semejanza
TAN,Adverbio de intensidad
TAO,Filosofia china tradicional
TEA,Rama de madera encendida
TEN,Forma verbal de tener
TES,Plural de te como bebida
TEZ,Piel del rostro humano
TIA,Hermana del padre o de la madre
TIC,Movimiento involuntario del cuerpo
TIO,Hermano del padre o de la madre
TON,Mil kilogramos
TOS,Expulsion brusca de aire por la garganta
TUL,Tela fina y transparente
TUS,Adjetivo posesivo plural
UFO,Objeto volador no identificado
UNA,Articulo indefinido femenino
UNE,Forma verbal de unir
UNO,Primer numero natural
UPA,Interjeccion para animar
URO,Mamifero extinto antepasado del toro
USA,Forma verbal de usar
USE,Forma verbal de usar
USO,Empleo de algo
UVA,Fruto de la vid
UVE,Nombre de la letra V
VAL,Apocope de valle poetico
VAN,Forma verbal de ir
VAS,Forma verbal de ir
VEA,Forma verbal de ver subjuntiva
VED,Forma verbal de ver
VEN,Forma verbal de venir imperativa
VEO,Forma verbal de ver en presente
VER,Percibir con la vista
VES,Forma verbal de ver en presente
VEZ,Ocasion o momento
VIA,Camino por donde se transita
VID,Planta que produce uvas
VIL,Que carece de dignidad
VIO,Forma verbal de ver en pasado
VIP,Persona muy importante
VOS,Pronombre de segunda persona
VOY,Forma verbal de ir en presente
VOZ,Sonido que emite la garganta
YEN,Moneda oficial de Japon
YIN,Principio femenino oriental
YOD,Decima letra hebrea
ZAR,Antiguo emperador ruso
ZAS,Interjeccion de golpe
ZEN,Escuela budista japonesa
ZOO,Parque de animales
